Real_Name,paper_name,EstimatedLonePairs,num_electroneg_1_3_neighbors,mean_ring_planarity,ElectronegativitySum,Net partial charge,NCO_count,num_nitrogens,num_oxygens,num_sulfurs,num_hbd,num_hba,num_carbon_aromatic_rings,num_nitrogen_aromatic_rings,num_all_cycle_atoms,num_cycle_nitrogens,num_cycle_oxygens,num_cycle_sulfurs,num_cycle_carbons,pore_avg,pore_median,pore_std
hub,hub,16.0,0,0.3491,280.88,-0.001,8,8,4,0,4,4,2,0,26,8,0,0,18,2.497397676767677,1.81972,2.835602897067257
hub4,H36,12.0,0,0.2378,239.6,1.995,4,6,4,0,4,4,2,2,30,4,0,0,26,3.759476035184168,2.24513,3.973876542723928
dcbzdb1,dcbzdb1,80.0,0,0.9718,454.44,-0.003,12,16,24,8,20,36,2,2,54,8,0,8,38,2.535962558139534,0.8837399999999999,4.680994329566422
dcbzdb2,dcbzdb2,74.0,0,0.9378,406.3,0.001,8,10,24,8,20,34,2,0,44,4,0,8,32,2.115550594059406,1.33276,2.3841584575984585
dcddc1,dcddc1,64.0,0,0.1214,435.28,-0.009,10,12,22,4,18,28,0,0,22,4,0,4,14,2.6487853608247423,1.74332,3.2567372384772866
roelen,roelen,7.5,0,0.2549,301.56,0.003,0,9,0,0,9,6,2,3,39,9,0,0,30,6.787863744680851,5.54709,4.6056688943480895
hub5,hub5,74.0,0,0.7248,408.4,2.003,7,10,24,8,16,34,2,2,58,10,0,8,40,3.6080302898550727,1.94758,4.166014077080021
hub1,hub1,9.0,0,0.336,134.33,-0.001,4,5,2,0,4,3,0,1,18,5,0,0,13,2.695642340425532,0.88403,4.81541523412636
asb17,asb17,16.0,0,0.3013,322.66,2.003,8,10,4,0,8,4,4,2,46,8,0,0,38,5.571178258706468,4.71688,3.28343171619449
t6n3,t6n3,8.0,0,0.2572,191.64,0.004,4,4,2,0,2,2,1,0,15,4,0,0,11,2.040616712328767,0.55921,4.004189152126261
dcddc2,dcddc2,64.0,0,0.2309,406.08,0.002,10,12,22,4,18,28,0,0,22,4,0,4,14,4.411594357541898,3.34191,3.691546627870782
dcddc3,dcddc3,64.0,0,0.1379,452.88,0.005,10,12,22,4,18,28,0,0,22,4,0,4,14,2.030537415730337,0.90388,3.2022998885957046
hub2,hub2,9.0,0,0.3318,120.43,0.002,4,5,2,0,4,3,0,1,19,5,0,0,14,2.700296585365854,1.64633,2.895787139859724
davis,davis,40.0,0,0.2845,488.56,0.003,8,8,16,0,8,16,6,0,56,8,0,0,48,2.487922748091603,1.98074,2.1785803101491457
cyc2,cyc2,34.0,0,0.3254,223.06,0.0,4,6,10,4,10,16,0,0,22,4,0,4,14,2.258557669172932,1.48627,2.6949848843502857
asb18,asb18,16.0,0,0.3239,330.06,2.003,8,10,4,0,8,4,2,2,32,8,0,0,24,2.461746560509554,1.37669,2.702989811834039
M1,M1,74.0,0,0.9141,390.1,0.007,8,10,24,8,16,34,2,2,58,10,0,8,40,2.098192950819672,0.85111,3.954158397023148
M6,M6,70.0,0,0.6592,344.02,-0.003,6,6,22,10,14,32,3,0,54,6,0,10,38,2.102971809523809,1.25307,2.447523126054771
M3,M3,74.0,0,1.3442,438.3,0.0,8,10,24,8,16,34,4,2,70,10,0,8,52,2.5120580530973453,1.9094,2.1740960650934027
M5,M5,111.0,0,0.6215,556.65,-0.002,12,15,36,12,24,51,2,3,81,15,0,12,54,1.6259281714285714,0.91902,2.426594468432563
asb3,asb3,24.0,0,0.1624,239.46,2.007,2,6,8,0,4,12,2,2,24,6,0,0,18,1.918669846153846,0.47169,4.212397779949632
asb5,asb5,20.0,0,0.1033,281.76,3.999,4,8,6,0,4,10,2,4,30,8,0,0,22,3.437728897637795,2.75719,2.4154361734201344
asb6,asb6,20.0,0,0.0977,291.96,4.004,4,8,6,0,4,10,4,4,30,8,0,0,22,4.839385668202765,4.072,2.901901237407778
asb7,asb7,20.0,0,0.1613,218.68,1.997,2,6,6,0,4,10,2,2,24,6,0,0,18,1.6249550666666668,0.66948,3.0443562505069925
asb8,asb8,20.0,0,0.2792,281.76,3.998,4,8,6,0,4,10,2,4,42,8,0,0,34,5.446742180094787,4.70671,2.653834514078756
asb4,asb4,24.0,0,0.3355,302.54,4.007,4,8,8,0,4,12,2,4,42,8,0,0,34,2.8498502439024382,2.03687,2.3304768871852857
asb9,asb9,16.0,0,0.1409,288.78,4.0,4,8,4,0,4,8,2,4,30,8,0,0,22,5.262562015810276,4.74233,3.0377354878403864
asb12,asb12,16.0,0,0.3046,288.78,4.002,4,8,4,0,4,8,2,4,42,8,0,0,34,6.1696191633466135,5.42624,2.9103309774637927
asb10,asb10,16.0,0,0.1084,298.98,4.002,4,8,4,0,4,8,4,4,30,8,0,0,22,8.960353095975233,6.90275,6.22751104818632
asb11,asb11,16.0,0,0.1676,225.7,1.996,2,6,4,0,4,8,2,2,24,6,0,0,18,2.766845259259259,2.16217,2.2643015580657555
asb13,asb13,16.0,0,0.2562,302.68,4.001,4,8,4,0,4,8,2,4,36,8,0,0,28,2.377468828828829,2.03129,2.225942075228689
asb14,asb14,16.0,0,0.278,312.88,4.006,4,8,4,0,4,8,4,4,36,8,0,0,28,3.461130754716981,2.81294,2.8788002174719267
asb15,asb15,16.0,0,0.2943,239.6,2.002,2,6,4,0,4,8,2,2,30,6,0,0,24,2.6530203773584904,1.98524,2.8688013970402757
asb16,asb16,16.0,0,0.3859,302.68,4.002,4,8,4,0,4,8,2,4,48,8,0,0,40,5.459636772486772,4.77467,2.4014686761222728
asb1,asb1,24.0,0,0.1455,302.54,3.998,4,8,8,0,4,12,2,4,30,8,0,0,22,1.8046562831858408,0.8923299999999998,3.3401232629957915
asb2,asb2,24.0,0,0.0983,312.74,4.004,4,8,8,0,4,12,4,4,30,8,0,0,22,4.049764883720931,3.41859,2.52134438566705
1,1,3.0,0,0.0002,93.96,-0.003,0,4,0,0,2,2,0,4,16,4,0,0,12,2.4047573043478265,1.87382,2.6013392211976947
10,10,4.0,0,0.4351,174.36,4.012,0,4,0,0,0,4,2,4,40,4,0,0,36,4.72986466367713,4.09507,2.685059493862963
100,100,18.0,0,0.4165,271.08,0.006,6,6,6,0,6,6,9,0,66,6,0,0,60,1.7667561224489794,0.90516,2.3848932053389524
stoddart,H34,56.0,0,0.8562,456.72,8.0,0,8,0,0,0,8,9,6,105,8,0,0,97,3.180159148678636,2.45429,2.5432487325678226
davis3water,H35,69.0,0,0.0564,453.0,-6.004,6,6,24,0,6,24,6,0,26,4,0,0,22,4.260735347255484,3.03136,3.430774202834052
101,101,20.0,0,0.2642,309.38,-0.0,0,4,8,0,0,12,4,0,46,4,8,0,34,11.213462033542976,10.68444,5.715950817984408
102,102,20.0,0,0.4217,309.38,0.002,0,4,8,0,0,12,4,0,58,4,8,0,46,11.391757278350516,10.75813,5.618520894019825
