Real_Name,paper_name,EstimatedLonePairs,num_electroneg_1_3_neighbors,mean_ring_planarity,ElectronegativitySum,Net partial charge,NCO_count,num_nitrogens,num_oxygens,num_sulfurs,num_hbd,num_hba,num_carbon_aromatic_rings,num_nitrogen_aromatic_rings,num_all_cycle_atoms,num_cycle_nitrogens,num_cycle_oxygens,num_cycle_sulfurs,num_cycle_carbons,pore_avg,pore_median,pore_std
hub4,H36,12.0,0,0.2378,239.6,1.995,4,6,4,0,4,4,2,2,30,4,0,0,26,3.759476035184168,2.24513,3.973876542723928
stoddart,H34,56.0,0,0.8562,456.72,8.0,0,8,0,0,0,8,9,6,105,8,0,0,97,3.180159148678636,2.45429,2.5432487325678226
davis3water,H35,69.0,0,0.0564,453.0,-6.004,6,6,24,0,6,24,6,0,26,4,0,0,22,4.260735347255484,3.03136,3.430774202834052
107,H23,2.5,0,0.3509,387.7,-0.002,0,5,0,0,0,5,10,0,65,5,0,0,60,11.720915824634654,10.98299,5.314367634123884
davis2water,H33,229.5,0,0.4633,1207.55,-27.002,18,18,72,0,18,72,11,0,59,6,0,0,53,4.127576437900128,2.85524,3.164957280341256
roelen1water,H32,235.5,0,0.2487,1253.79,-26.9909,24,24,72,0,24,72,5,0,42,12,0,0,30,5.002593818405543,3.03786,4.0575484313686925
12,H3,40.0,4,0.9009,257.12,0.002,4,8,12,4,8,20,4,0,48,8,0,4,36,1.769043333333333,0.66438,3.416921243964661
13,H4,4.0,0,0.422,222.56,3.996,0,4,0,0,0,4,4,4,52,4,0,0,48,7.242664281345566,6.7481,3.9879221049359423
133,H24,18.0,0,0.5016,369.3,0.003,2,2,8,0,6,8,0,0,32,2,0,0,30,1.9087366355140187,1.23183,2.679401360163613
171,H25,16.0,0,0.3509,159.12,-0.003,0,0,8,0,0,8,2,0,32,0,8,0,24,5.942151872659176,5.39216,3.1628302564770023
172,H26,20.0,0,0.3521,189.65,0.005,0,0,10,0,10,10,5,0,35,0,0,0,35,7.789875208845207,7.14078,4.723590415783315
174,H27,28.0,0,0.3811,265.51,0.003,0,0,14,0,14,14,7,0,49,0,0,0,49,10.856660594059408,10.09679,5.804229855399776
176,H28,36.0,0,0.3649,341.37,0.001,0,0,18,0,18,18,9,0,63,0,0,0,63,11.495083360160969,10.63323,5.362786256873346
183,H29,17.0,0,0.1381,347.72,-0.002,0,10,0,4,10,4,6,2,38,10,0,0,28,11.24923206185567,10.81608,5.762980867207228
185,H30,16.0,8,0.4337,124.28,-0.0,0,8,4,0,0,12,2,2,32,8,4,0,20,7.8253293023255805,7.17298,5.105751576538194
189,H31,52.0,0,0.0612,325.88,3.995,0,8,4,0,4,12,6,4,38,8,0,0,30,6.765379368029739,5.88357,2.853301416679241
19,H5,26.0,0,0.1728,189.24,-0.003,0,4,12,0,4,16,4,4,34,4,0,0,30,8.997268466522677,8.43689,6.090570409953054
20,H6,26.0,0,0.165,218.44,-0.002,0,4,12,0,4,16,6,4,38,4,0,0,34,3.743238441558441,3.02573,2.868209635043891
22,H7,27.0,0,0.3052,261.12,-0.004,0,6,12,0,0,18,3,6,42,6,0,0,36,3.15383,2.48,2.233083306251592
3,H1,16.0,0,0.398,138.72,0.016,0,0,8,0,0,8,0,0,24,0,8,0,16,10.84136819706499,10.3612,6.007922148132084
32,H8,20.0,0,0.4099,260.28,0.0,8,4,8,0,0,8,6,4,42,4,0,0,38,2.735052983137636,2.00643,2.943198567267672
33,H9,30.0,0,0.543,304.92,-0.002,12,6,12,0,0,12,6,6,54,6,0,0,48,3.2889614201183432,2.53986,2.000842155444823
4,H2,6.0,0,0.3912,257.34,-0.005,0,6,0,0,6,6,3,0,36,6,0,0,30,6.815364242424242,5.68675,4.434936358174045
40,H10,26.0,0,0.179,235.64,0.004,4,2,10,2,0,12,5,2,46,2,6,2,36,2.477102549019608,1.51835,2.9281958091729807
41,H11,52.0,0,0.8396,471.28,-0.005,8,4,20,4,0,24,10,4,100,4,12,4,80,1.3915945569620254,0.31783,3.516594882181024
