Real_Name,paper_name,Predicted_dG,Uncertainty
davis2water,H33,-4.845710722886684,0.05871915406501932
roelen1water,H32,-4.217668803728898,0.06654357928429544
32,H8,-3.9544313040438706,0.0008049507785434023
176,H28,-3.885165582823004,0.0008057008131938285
174,H27,-3.7679735677179904,0.0008056919890440183
20,H6,-3.2336515842733107,0.0008046299747092264
183,H29,-3.125385808880557,0.0008056928380590386
41,H11,-3.066847774644973,0.0008052602063400083
33,H9,-3.0564664255293827,0.0008057731160169841
19,H5,-2.622693037279875,0.0008057192349498234
97,H22,-2.4528058523923577,0.0008057597663157344
189,H31,-2.4345053446164364,0.0008050063489731174
40,H10,-2.3155439963521047,0.0008045349041132252
davis3water,H35,-2.2972446732191023,0.015491209445778437
stoddart,H34,-2.2954655910879818,0.16253270129351263
hub4,H36,-2.2147005303310467,0.02148850384053904
107,H23,-2.195805794045966,0.0008056435410868064
47,H14,-2.110720469197481,0.0008057430900554538
13,H4,-2.094350199246286,0.0008057692146377132
22,H7,-2.046202133175742,0.0008057251954039483
87,H20,-2.0051412074138804,0.0008057139651332472
172,H26,-1.9629295895845802,0.0008057649320022877
46,H13,-1.90544972325929,0.0008057682000671187
52,H16,-1.864544404310812,0.0008057306316184294
56,H17,-1.7365909793154422,0.0008034673415961895
4,H2,-1.6033527265284335,0.0008057720090838043
133,H24,-1.5846595963414838,0.0008057714544536628
48,H15,-1.5392456377378734,0.0008053104770419912
95,H21,-1.51244688057039,0.0008057681295275318
12,H3,-1.4990156472006206,0.0008055192582404855
45,H12,-1.3542094939541462,0.0008048595372558907
185,H30,-1.33326472380039,0.0008057673477879164
83,H18,-1.2969405820959132,0.0008024477817926053
83charge,H19,-1.2400544564691873,0.0008027446875756765
171,H25,-1.1891438548348758,0.0008057664771348289
3,H1,-1.1244314044944865,0.0008035507108605608
