Real_Name,paper_name,Predicted_dG,Uncertainty
32,H8,-3.9354337167260702,0.09487778724583892
176,H28,-3.87551464265576,0.095081895589075
174,H27,-3.757998500558939,0.09472114206819499
20,H6,-3.2234752799193744,0.09456069645478471
183,H29,-3.114009007328771,0.09515442702490008
33,H9,-3.0603125620185336,0.09508470910134158
41,H11,-3.0596739868469665,0.09523315323988568
19,H5,-2.6200009259567136,0.09402416026459254
davis3water,H35,-2.615253842063695,0.7031619691398097
stoddart,H34,-2.516388348681623,0.6507926850356985
97,H22,-2.4500865512289742,0.09521311013473549
189,H31,-2.4338695907891195,0.09498526361455216
40,H10,-2.3185225301302492,0.09493737303689256
107,H23,-2.205607279771167,0.09516829532679394
roelen1water,H32,-2.1652370106207215,0.855517478764224
davis2water,H33,-2.165169189456429,0.8555174944401372
47,H14,-2.0989754995774694,0.09482886290255259
13,H4,-2.0814301213857753,0.09434028036906869
22,H7,-2.058952811440511,0.09474923782905652
87,H20,-2.013889694369005,0.09502487056784722
172,H26,-1.9746971291854651,0.0935832506401649
46,H13,-1.9109546934219444,0.09511362366264148
52,H16,-1.8637971507543714,0.09317970070827228
56,H17,-1.7394981434528596,0.09441301912595663
hub4,H36,-1.7088182079464078,0.24412392010240647
4,H2,-1.6089362233389555,0.09422778780858103
133,H24,-1.5848427058155594,0.09499324235611907
95,H21,-1.5121516406253819,0.09419557614215618
12,H3,-1.5112242270979066,0.09498108089884684
48,H15,-1.495032308585425,0.09214217149180892
45,H12,-1.3725423553226836,0.09400038308229534
185,H30,-1.3311551485445616,0.0944247256090375
83,H18,-1.3011414073886765,0.09371431726566283
83charge,H19,-1.2437695741309034,0.09439069400134269
171,H25,-1.2253808294296995,0.09223219521562262
3,H1,-1.127234139101827,0.09440604197856152
