n_pca,seed,R2_train,R2_test
2,0,0.999952848484038,0.0737084994513536
2,1,0.8378468580047369,-1.2895300801594787
2,2,0.9589802600893831,-0.9997852377982899
2,3,0.8824324617003398,0.5109379541537793
2,4,0.9958637874554087,-1.7914201610734257
2,5,0.9999999999943919,-0.274111551171502
2,6,0.7546228415702423,0.1556402326849382
2,7,0.9950485946482854,0.15699611716322814
2,8,0.8646269621481388,0.7945803006263776
2,9,0.9846703106095811,0.06441257960633451
3,0,0.999999999994269,0.07766331167222174
3,1,0.998747351497685,-0.9740555702928437
3,2,0.9589795461414273,-0.9997699803218407
3,3,0.9294802036056931,0.4608684990021856
3,4,0.954712208712555,-1.2486353673351207
3,5,0.9999999999944514,-0.2741151186018458
3,6,0.9990394781691003,-0.06511247263694098
3,7,0.9950490529280231,0.15700215617363977
3,8,0.9999999999981466,0.5415670287251652
3,9,0.9832473376600411,-0.08742252397043271
4,0,0.9999999999953753,0.08503120730204505
4,1,0.9999999999939662,-1.1835482320079116
4,2,0.9993007907709723,-0.7913375458543992
4,3,0.9999999999939773,0.40377277284243085
4,4,0.9547162852748569,-1.2486429144956852
4,5,0.9999999999947673,-0.2793582532846026
4,6,0.9990400111917614,-0.06511127012087092
4,7,0.9999999999980174,-0.1547892851168351
4,8,0.9999999999986162,0.5415378737261307
4,9,0.9999999999983435,-0.025718823265439728
5,0,0.9999999999959805,-0.45652784403021096
5,1,0.9999999999939744,-1.1835623456845554
5,2,0.9999999999969614,-1.1553511910819037
5,3,0.9999999999939821,0.40377220597903785
5,4,0.9999999999976396,-0.3088704024090785
5,5,0.9999999999947685,-0.2793813649055965
5,6,0.999386872781893,-0.035720535261686504
5,7,0.9999999999980173,-0.15476891964481698
5,8,0.9934831203850725,0.8148888222219697
5,9,0.9999999999984102,-0.025717853403293134
6,0,0.9999999999953748,0.08502608355963048
6,1,0.9999999999939743,-1.1835799147194441
6,2,0.9999999999969613,-1.1553777211363991
6,3,0.9999999999939825,0.4037728606427239
6,4,0.9999999999975517,-0.2827359132074412
6,5,0.9999999999944509,-0.27411542626643715
6,6,0.9999999830009275,-0.2981706585080779
6,7,0.9999999999980173,-0.1547685643614538
6,8,0.9937060883337944,0.8197302146367929
6,9,0.9999999999985164,-0.07627392073936434
7,0,0.9999999999920979,0.30122795053878404
7,1,0.9999999999947237,-1.0731483846203465
7,2,0.9999999999970828,-2.0111540908735646
7,3,0.9999999999939829,0.40376844951922597
7,4,0.9999999999975518,-0.2827408043628101
7,5,0.9999999999944511,-0.27411102542388366
7,6,0.9999999999982412,0.09072660078743333
7,7,0.999999999998376,0.6023208230153311
7,8,0.9991648209550891,0.8663773627522411
7,9,0.9999999999967785,-0.03694063251595914
8,0,0.9999999999920989,0.3012422416801831
8,1,0.9999999999945,-0.8350125460163682
8,2,0.9999999999957268,-3.076927734329483
8,3,0.9999999999931205,0.45174273725109526
8,4,0.9999999999966454,0.5855239466627725
8,5,0.9999999999944511,-0.2741279495618669
8,6,0.9999999999967653,0.20995298109656868
8,7,0.9999999999983793,0.7011916839600002
8,8,0.9999999999957769,0.28070015389688174
8,9,0.9999999999978074,0.5516121801838166
9,0,0.9999999999920981,0.30121916122178893
9,1,0.9999999999945002,-0.8350389219103236
9,2,0.9999999999954827,-6.3072470459877925
9,3,0.9999999999931048,0.45272544344721544
9,4,0.9999999999966454,0.5855233578058857
9,5,0.9999999999944511,-0.27411320278427054
9,6,0.9934131222140342,0.10602780828900205
9,7,0.9999999999983591,-0.30300515242904136
9,8,0.9999999999957765,0.2807011025605699
9,9,0.9999999999978073,0.5516230847857888
10,0,0.9999999999944663,0.13327092191877576
10,1,0.999999999994766,-0.8467026107838138
10,2,0.9999999999957266,-3.0768070072796077
10,3,0.9999999999931302,0.4514286823475744
10,4,0.9999999999966452,0.5855211712791368
10,5,0.9999999999967227,0.01475943278117331
10,6,0.9999999999963498,0.14659382315569713
10,7,0.9999999999978042,0.029987857381916228
10,8,0.9999999999957772,0.28074352706771855
10,9,0.999999999998136,0.5450362630438743
