subset_size,features,n_pca_comp,seed,R2_train,R2_test
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,0,0.3099709608481235,0.47365640392050323
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,1,0.5227697948449207,0.0019632068667269835
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,2,0.4999215969190419,0.5606696164688237
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,3,0.5642062421441066,0.007943726913606548
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,4,0.3935029464414286,0.1413103530188876
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,5,0.3959619529203281,0.06486451295380102
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,6,0.541546737914738,0.36187860958547047
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,7,0.42231970296516375,0.4200451276620458
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",2,8,0.48422932551952796,0.1896948839662877
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,0,0.6938649492212072,0.7128921982889086
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,1,0.7850614819205094,0.5806489268863354
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,2,0.9555397901196171,0.5415156928191608
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,3,0.6094252109935606,0.195011759980025
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,4,0.6008151137749651,0.4241550529577742
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,5,0.5725832012142396,0.5903012205049624
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,6,0.9110004094607669,0.5342052792542517
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,7,0.7752480119206977,0.7530407339183901
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",3,8,0.7237358537004451,0.5199750194334718
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,0,0.7017885466158126,0.6543691408542274
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,1,0.8052424925538485,0.4165320406407925
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,2,0.9999999999981091,0.5356592895388348
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,3,0.5817395388831593,0.3275733289088813
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,4,0.5697555941399367,0.4304081816109635
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,5,0.5195781287823832,0.5749654212163411
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,6,0.9326351912306058,0.5192333767658044
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,7,0.5439036641240232,0.6005656388386241
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",4,8,0.6318510143587709,0.43534996202720844
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,0,0.8657459910418096,0.6550140423310881
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,1,0.9999999999958802,0.09131045646323246
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,2,0.9999999999982634,0.5094230014019068
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,3,0.6015123782740214,0.3843290045850347
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,4,0.5983123632042421,0.5690390182443553
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,5,0.6803425396408272,0.7738431969440892
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,6,0.8919448557723579,0.6170353175746788
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,7,0.9999999999984583,0.5657587257862162
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",5,8,0.6985901910512501,0.4799717620603093
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,0,0.8462966429489719,0.6674838986889507
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,1,0.9999999999963296,0.06912138720437909
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,2,0.9999999999973033,0.4668020824488332
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,3,0.5926929399742978,0.38405505672618057
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,4,0.6058315244234629,0.6588446897579986
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,5,0.5582356751922932,0.7450710990523666
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,6,0.8108525789704056,0.49948573309286903
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,7,0.9999999999985567,0.5934457681958849
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",6,8,0.7153775784646172,0.5066830271423621
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",7,0,0.7803256634107847,0.5552626047803797
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",7,1,0.9999999999965041,0.08601294304223055
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",7,2,0.9999999999984637,0.41868890280999294
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",7,3,0.9999999999980518,0.55395436692562
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",7,4,0.9999999999973315,0.7224788747875751
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",7,5,0.9999999999992382,0.8099926508528765
